number,name,parent_group,type,sub_type,sub_type_2,source,note
1101,Bank of America Checking Account,1100 Bank Accounts,Asset,Bank,Bank Accounts,2019-2024 workbook,
1102,Old Bank of America Checking Account,1100 Bank Accounts,Asset,Bank,Bank Accounts,2019-2024 workbook,
1103,Bank of America Checking Account,1100 Bank Accounts,Asset,Bank,Bank Accounts,2019-2024 workbook,
1201,RE Acquisition Deposit,1200 Paid Deposits,Asset,Other Current Assets,Paid Deposits,2019-2024 workbook,
1202,Vendor Deposit,1200 Paid Deposits,Asset,Other Current Assets,Paid Deposits,2019-2024 workbook,
1301,Property - Land,1300 Property Assets,Asset,Fixed Asset,Property Assets,2019-2024 workbook,
1302,Property - Building,1300 Property Assets,Asset,Fixed Asset,Property Assets,2019-2024 workbook,
1303,Accum Dep - Building,1300 Property Assets,Asset,Fixed Asset,Property Assets,2019-2024 workbook,
1304,Property - Personal Furnishings,1300 Property Assets,Asset,Fixed Asset,Property Assets,2019-2024 workbook,
1305,Accum Dep - Personal Furnishing,1300 Property Assets,Asset,Fixed Asset,Property Assets,2019-2024 workbook,
1306,Property - Appliances Fixtures,1300 Property Assets,Asset,Fixed Asset,Property Assets,2019-2024 workbook,
1307,Accum Dep - Appliance Fixtures,1300 Property Assets,Asset,Fixed Asset,Property Assets,2019-2024 workbook,
1308,Property - Building Improvments,1300 Property Assets,Asset,Fixed Asset,Property Assets,2019-2024 workbook,
1309,Accum Dep - Building Improvment,1300 Property Assets,Asset,Fixed Asset,Property Assets,2019-2024 workbook,
1310,Property - Equipment,1300 Property Assets,Asset,Fixed Asset,Property Assets,2019-2024 workbook,
1311,Accum Dep - Equipment,1300 Property Assets,Asset,Fixed Asset,Property Assets,2019-2024 workbook,
1312,Property - Land Improvements,1300 Property Assets,Asset,Fixed Asset,Property Assets,2019-2024 workbook,
1401,Land Dev - Legal,1400 Error Capitalized Expenses,Asset,Fixed Asset,Error Capitalized Expenses,2019-2024 workbook,
1402,Land Dev - Equipment Repairs,1400 Error Capitalized Expenses,Asset,Fixed Asset,Error Capitalized Expenses,2019-2024 workbook,
1403,Land Dev - Landscaping,1400 Error Capitalized Expenses,Asset,Fixed Asset,Error Capitalized Expenses,2019-2024 workbook,
1404,Land Dev - Closing Costs,1400 Error Capitalized Expenses,Asset,Fixed Asset,Error Capitalized Expenses,2019-2024 workbook,
1405,Land Dev - Property Taxes,1400 Error Capitalized Expenses,Asset,Fixed Asset,Error Capitalized Expenses,2019-2024 workbook,
1406,Land Dev - Postage and Delivery,1400 Error Capitalized Expenses,Asset,Fixed Asset,Error Capitalized Expenses,2019-2024 workbook,
1407,Land Dev - Travel Expense,1400 Error Capitalized Expenses,Asset,Fixed Asset,Error Capitalized Expenses,2019-2024 workbook,
1408,Land Dev - Misc Expense,1400 Error Capitalized Expenses,Asset,Fixed Asset,Error Capitalized Expenses,2019-2024 workbook,
1409,Land Dev - Meals and Entertainmen,1400 Error Capitalized Expenses,Asset,Fixed Asset,Error Capitalized Expenses,2019-2024 workbook,
1410,Land Dev - Trash Expense,1400 Error Capitalized Expenses,Asset,Fixed Asset,Error Capitalized Expenses,2019-2024 workbook,
1411,Land Dev - Supplies Expense,1400 Error Capitalized Expenses,Asset,Fixed Asset,Error Capitalized Expenses,2019-2024 workbook,
1412,Land Dev - Software Expense,1400 Error Capitalized Expenses,Asset,Fixed Asset,Error Capitalized Expenses,2019-2024 workbook,
1413,Land Dev - Accounting Fees,1400 Error Capitalized Expenses,Asset,Fixed Asset,Error Capitalized Expenses,2019-2024 workbook,
1414,Land Dev - Insurance,1400 Error Capitalized Expenses,Asset,Fixed Asset,Error Capitalized Expenses,2019-2024 workbook,
1501,Tenant Rent Due,1500 Accounts Receivable,Asset,Other Current Assets,Accounts Receivable,2019-2024 workbook,Source workbook listed 1501 twice (Asset under 1500 and Liability under 2100) with sub-type 'Other Current Liabilities'; kept as one Asset under 1500 Accounts Receivable (decision D5) - confirm with Jose
2101,Tenant Security Deposits Held,2100 Other Current Liabilities,Liability,Other Current Liabilities,Liabilities,2019-2024 workbook,
2102,Tenant Prepaid Rent,2100 Other Current Liabilities,Liability,Other Current Liabilities,Liabilities,2019-2024 workbook,
3101,Capital Contribution,3100 Capital Flows,Equity,Equity,Capital Contributions,2019-2024 workbook,
3102,Capital Distribution,3100 Capital Flows,Equity,Equity,Capital Contributions,2019-2024 workbook,
4101,Rental Income,4100 Income,Income,Income,Income,2019-2024 workbook,
4102,Income from Disposition of Assset,4100 Income,Income,Income,Income,2019-2024 workbook,
5101,Closing Costs,5100 Acquisition Expenses,Expense,Expense,Acquisition Expenses,2019-2024 workbook,
5102,Incorporation Expenses,5100 Acquisition Expenses,Expense,Expense,Acquisition Expenses,2019-2024 workbook,
